storeNo,name,enterpriseCode,serviceCampusCode,address,telNumber
1,한솥도시락,DcD1s00001,"[""D1"", ""D5""]",광주광역시 광산구 임방울대로 727-6,062-715-2279
2,맘스터치,DcD1s00002,"[""D1"", ""D5""]",광주광역시 광산구 첨단중앙로 96,062-715-2279
3,킹스샌드&샐러드,DcD1s00003,"[""D1"", ""D5""]","광주광역시 광산구 첨단내촌로57번길 6",062-715-2279
40,달콤,DcD1s00003,"[""D1"", ""D5""]","광주광역시 광산구 첨단내촌로57번길 6",062-715-2279
149,마마죽&스프,DcD1s00003,"[""D1"", ""D5""]","광주광역시 광산구 첨단내촌로57번길 6",062-715-2279
5,김밥랜드,DcD1s00005,"[""D1"", ""D5""]",광주광역시 광산구 월계동 758-4,062-715-2279
6,무양식탁,DcD1s00006,"[""D1"", ""D5""]","광주광역시 광산구 첨단내촌로36번길, 28",062-715-2279
8,2학식당,DcD1s00008,"[""D1"", ""D5""]",광주광역시 북구 첨단과기로 123,062-715-2279
44,또아식빵,DcD1s00044,"[""D1"", ""D5""]","광주광역시 광산구 첨단중앙로 106번길 23",062-715-2279
53,기가찬국밥,DcD1s00053,"[""D1"", ""D5""]",광주광역시 광산구 첨단중앙로 106번길 30,062-715-2279
65,원할머니보쌈,DcD1s00065,"[""D1"", ""D5""]","광주광역시 광산구 첨단중앙로182번길 24",062-715-2279
68,유생촌,DcD1s00068,"[""D1"", ""D5""]",광주광역시 광산구 월계동 881-1,062-715-2279
69,이마트24,DcD1s00069,"[""D1"", ""D5""]",광주광역시 광산구 첨단중앙로 96,062-715-2279
71,통큰고기 통큰비빔밥,DcD1s00071,"[""D1"", ""D5""]",광주광역시 광산구 월계동826-3,062-715-2279
79,마초떡볶이,DcD1s00079,"[""D1"", ""D5""]",광주광역시 광산구 월계동 851-16,062-715-2279
80,일계양득,DcD1s00079,"[""D1"", ""D5""]",광주광역시 광산구 월계동 851-16,062-715-2279
124,국이랑 찌개랑,DcD1s00124,"[""D1"", ""D5""]",광주광역시 광산구 월계동831-6번지 1층,062-715-2279
217,도시락데이,DcD1s00124,"[""D1""]",광주광역시 광산구 월계동831-6번지 1층,062-715-2279
167,김밥나라,DcD1s00134,"[""D1""]",광주광역시 광산구 임방울대로 826번길,062-715-2279
136,설빙,DcD1s00136,"[""D1"", ""D5""]",광주광역시 광산구 첨단중앙로 104 2층,062-715-2279
137,김정호 깐풍기,DcD1s00137,"[""D1"", ""D5""]",광주광역시 광산구 산월로 33,062-715-2279
145,마라삼국지,DcD1s00145,"[""D1"", ""D5""]",광주광역시 광산구 월계동 799-3,062-715-2279
155,육개장 명가 & 갈비탕,DcD1s00145,"[""D1""]",광주광역시 광산구 월계동 799-3,062-715-2279
163,인생뼈구이,DcD1s00163,"[""D1""]",광주광역시 광산구 산월로21번길 19,062-715-2279
190,카페쏘뇨 샌드위치&샐러드,DcD1s00190,"[""D1""]",광주광역시 광산구 임방울대로 826번길 61,062-715-2279
192,봉구스밥버거,DcD1s00192,"[""D1""]","광주광역시 광산구 산월로 25, 1층",062-715-2279
195,상무초밥 첨단점,DcD1s00195,"[""D1""]",광주광역시 월계동 887-4,062-715-2279
197,비벼불고,DcD1s00197,"[""D1""]",광주광역시 광산구 임방울대로 826번길 61,062-715-2279
198,마라미녀,DcD1s00198,"[""D1""]",광주광역시 광산구 쌍암동 694-120 나동 1층 108호,062-715-2279
200,오늘의고기,DcD1s00200,"[""D1""]","광주광역시 광산구 임방울대로 826번길 61",062-715-2279
201,만타오,DcD1s00201,"[""D1""]",광주광역시 광산구 임방울대로 826번길 61,062-715-2279
202,전라도이야기,DcD1s00202,"[""D1""]",광주광역시 광산구 첨단중앙로 124번길 79,062-715-2279
207,뚜레쥬르 첨단쌍암점,DcD1s00207,"[""D1""]",광주광역시 광산구 첨단중앙로 164(쌍암동),062-715-2279
211,덮덮밥 첨단점,DcD1s00211,"[""D1""]",광주광역시 광산구 임방울대로800번길 82,062-715-2279
212,마선생 마약국밥 광주첨단점,DcD1s00212,"[""D1""]",광주광역시 광산구 월계동 892-7 1층,062-715-2279
216,연어로만,DcD1s00216,"[""D1""]","광주광역시 광산구 첨단중앙로152번길 5-4, 1층(쌍암동)",062-715-2279
226,치교치밥,DcD1s00226,"[""D1""]",광주광역시 광산구 쌍암동 694-120 113호,062-715-2279
300,봉구네,DcD1s00300,"[""D1""]","광주광역시 광산구 첨단내촌로36번길 26, 1층(월계동)",062-715-2279
52,에그드랍,DcD1s10052,"[""D1"", ""D5""]",광주광역시 광산구 임방울대로 801번길 8 1층,062-715-2279
66,돼지면찌개리,DcD1s20066,"[""D1"", ""D5""]",광주광역시 광산구 월계동 849-7,062-715-2279
121,신머이,DcD1s20121,"[""D1"", ""D5""]",광주광역시 광산구 임방울대로 826번길 61,062-715-2279
